,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Birthrate,Deathrate
103,Japan ,Asia (Ex. Near East)         ,127463611,377835,337.4,7.87,0.0,3.26,28200.0,99.0,461.2,9.37,9.16
104,Jersey ,Western Europe                     ,91084,116,785.2,60.34,2.76,5.24,24800.0,0.0,811.3,9.3,9.28
105,Jordan ,Near East                          ,5906760,92300,64.0,0.03,6.59,17.35,4300.0,91.3,104.5,21.25,2.65
106,Kazakhstan ,C.W. Of Ind. States ,15233244,2717300,5.6,0.0,-3.35,29.21,6300.0,98.4,164.1,16.0,9.42
107,Kenya ,Sub-Saharan Africa                 ,34707817,582650,59.6,0.09,-0.1,61.47,1000.0,85.1,8.1,39.72,14.02
108,Kiribati ,Oceania                            ,105432,811,130.0,140.94,0.0,48.52,800.0,0.0,42.7,30.65,8.26
109,Korea. North ,Asia (Ex. Near East)         ,23113019,120540,191.8,2.07,0.0,24.04,1300.0,99.0,42.4,15.54,7.13
110,Korea. South ,Asia (Ex. Near East)         ,48846823,98480,496.0,2.45,0.0,7.05,17800.0,97.9,486.1,10.0,5.85
111,Kuwait ,Near East                          ,2418393,17820,135.7,2.8,14.18,9.95,19000.0,83.5,211.0,21.94,2.41
112,Kyrgyzstan ,C.W. Of Ind. States ,5213898,198500,26.3,0.0,-2.45,35.64,1600.0,97.0,84.0,22.8,7.08
113,Laos ,Asia (Ex. Near East)         ,6368481,236800,26.9,0.0,0.0,85.22,1700.0,66.4,14.1,35.49,11.55
114,Latvia ,Baltics                            ,2274735,64589,35.2,0.82,-2.23,9.55,10200.0,99.8,321.4,9.24,13.66
115,Lebanon ,Near East                          ,3874050,10400,372.5,2.16,0.0,24.52,4800.0,87.4,255.6,18.52,6.21
116,Lesotho ,Sub-Saharan Africa                 ,2022331,30355,66.6,0.0,-0.74,84.23,3000.0,84.8,23.7,24.75,28.71
117,Liberia ,Sub-Saharan Africa                 ,3042004,111370,27.3,0.52,0.0,128.87,1000.0,57.5,2.3,44.77,23.1
118,Libya ,Northern Africa                    ,5900754,1759540,3.4,0.1,0.0,24.6,6400.0,82.6,127.1,26.49,3.48
119,Liechtenstein ,Western Europe                     ,33987,160,212.4,0.0,4.85,4.7,25000.0,100.0,585.5,10.21,7.18
120,Lithuania ,Baltics                            ,3585906,65200,55.0,0.14,-0.71,6.89,11400.0,99.6,223.4,8.75,10.98
121,Luxembourg ,Western Europe                     ,474413,2586,183.5,0.0,8.97,4.81,55100.0,100.0,515.4,11.94,8.41
122,Macau ,Asia (Ex. Near East)         ,453125,28,16183.0,146.43,4.86,4.39,19400.0,94.5,384.9,8.48,4.47
123,Macedonia ,Eastern Europe                     ,2050554,25333,80.9,0.0,-1.45,10.09,6700.0,0.0,260.0,12.02,8.77
124,Madagascar ,Sub-Saharan Africa                 ,18595469,587040,31.7,0.82,0.0,76.83,800.0,68.9,3.6,41.41,11.11
125,Malawi ,Sub-Saharan Africa                 ,13013926,118480,109.8,0.0,0.0,103.32,600.0,62.7,7.9,43.13,19.33
126,Malaysia ,Asia (Ex. Near East)         ,24385858,329750,74.0,1.42,0.0,17.7,9000.0,88.7,179.0,22.86,5.05
127,Maldives ,Asia (Ex. Near East)         ,359008,300,1196.7,214.67,0.0,56.52,3900.0,97.2,90.0,34.81,7.06
128,Mali ,Sub-Saharan Africa                 ,11716829,1240000,9.5,0.0,-0.33,116.79,900.0,46.4,6.4,49.82,16.89
129,Malta ,Western Europe                     ,400214,316,1266.5,62.28,2.07,3.89,17700.0,92.8,505.0,10.22,8.1
130,Marshall Islands ,Oceania                            ,60422,11854,5.1,3.12,-6.04,29.45,1600.0,93.7,91.2,33.05,4.78
131,Martinique ,Latin Amer. & Carib    ,436131,1100,396.5,31.82,-0.05,7.09,14400.0,97.7,394.4,13.74,6.48
132,Mauritania ,Sub-Saharan Africa                 ,3177388,1030700,3.1,0.07,0.0,70.89,1800.0,41.7,12.9,40.99,12.16
133,Mauritius ,Sub-Saharan Africa                 ,1240827,2040,608.3,8.68,-0.9,15.03,11400.0,85.6,289.3,15.43,6.86
134,Mayotte ,Sub-Saharan Africa                 ,201234,374,538.1,49.52,6.78,62.4,2600.0,0.0,49.7,40.95,7.7
135,Mexico ,Latin Amer. & Carib    ,107449525,1972550,54.5,0.47,-4.87,20.91,9000.0,92.2,181.6,20.69,4.74
136,Micronesia. Fed. St. ,Oceania                            ,108004,702,153.9,870.66,-20.99,30.21,2000.0,89.0,114.8,24.68,4.75
137,Moldova ,C.W. Of Ind. States ,4466706,33843,132.0,0.0,-0.26,40.42,1800.0,99.1,208.1,15.7,12.64
138,Monaco ,Western Europe                     ,32543,2,16271.5,205.0,7.75,5.43,27000.0,99.0,1035.6,9.19,12.91
139,Mongolia ,Asia (Ex. Near East)         ,2832224,1564116,1.8,0.0,0.0,53.79,1800.0,97.8,55.1,21.59,6.95
140,Montserrat ,Latin Amer. & Carib    ,9439,102,92.5,39.22,0.0,7.35,3400.0,97.0,0.0,17.59,7.1
141,Morocco ,Northern Africa                    ,33241259,446550,74.4,0.41,-0.98,41.62,4000.0,51.7,40.4,21.98,5.58
142,Mozambique ,Sub-Saharan Africa                 ,19686505,801590,24.6,0.31,0.0,130.79,1200.0,47.8,3.5,35.18,21.35
143,Namibia ,Sub-Saharan Africa                 ,2044147,825418,2.5,0.19,0.0,48.98,7200.0,84.0,62.6,24.32,18.86
144,Nauru ,Oceania                            ,13287,21,632.7,142.86,0.0,9.95,5000.0,0.0,143.0,24.76,6.7
145,Nepal ,Asia (Ex. Near East)         ,28287147,147181,192.2,0.0,0.0,66.98,1400.0,45.2,15.9,30.98,9.31
146,Netherlands ,Western Europe                     ,16491461,41526,397.1,1.09,2.91,5.04,28600.0,99.0,460.8,10.9,8.68
147,Netherlands Antilles ,Latin Amer. & Carib    ,221736,960,231.0,37.92,-0.41,10.03,11400.0,96.7,365.3,14.78,6.45
148,New Caledonia ,Oceania                            ,219246,19060,11.5,11.83,0.0,7.72,15000.0,91.0,252.2,18.11,5.69
149,New Zealand ,Oceania                            ,4076140,268680,15.2,5.63,4.05,5.85,21600.0,99.0,441.7,13.76,7.53
150,Nicaragua ,Latin Amer. & Carib    ,5570129,129494,43.0,0.7,-1.22,29.11,2300.0,67.5,39.7,24.51,4.45
151,Niger ,Sub-Saharan Africa                 ,12525094,1267000,9.9,0.0,-0.67,121.69,800.0,17.6,1.9,50.73,20.91
152,Nigeria ,Sub-Saharan Africa                 ,131859731,923768,142.7,0.09,0.26,98.8,900.0,68.0,9.3,40.43,16.94
153,N. Mariana Islands ,Oceania                            ,82459,477,172.9,310.69,9.61,7.11,12500.0,97.0,254.7,19.43,2.29
154,Norway ,Western Europe                     ,4610820,323802,14.2,7.77,1.74,3.7,37800.0,100.0,461.7,11.46,9.4
155,Oman ,Near East                          ,3102229,212460,14.6,0.98,0.28,19.51,13100.0,75.8,85.5,36.24,3.81
156,Pakistan ,Asia (Ex. Near East)         ,165803560,803940,206.2,0.13,-2.77,72.44,2100.0,45.7,31.8,29.74,8.23
157,Palau ,Oceania                            ,20579,458,44.9,331.66,2.85,14.84,9000.0,92.0,325.6,18.03,6.8
158,Panama ,Latin Amer. & Carib    ,3191319,78200,40.8,3.18,-0.91,20.47,6300.0,92.6,137.9,21.74,5.36
159,Papua New Guinea ,Oceania                            ,5670544,462840,12.3,1.11,0.0,51.45,2200.0,64.6,10.9,29.36,7.25
160,Paraguay ,Latin Amer. & Carib    ,6506464,406750,16.0,0.0,-0.08,25.63,4700.0,94.0,49.2,29.1,4.49
161,Peru ,Latin Amer. & Carib    ,28302603,1285220,22.0,0.19,-1.05,31.94,5100.0,90.9,79.5,20.48,6.23
162,Philippines ,Asia (Ex. Near East)         ,89468677,300000,298.2,12.1,-1.5,23.51,4600.0,92.6,38.4,24.89,5.41
163,Poland ,Eastern Europe                     ,38536869,312685,123.3,0.16,-0.49,8.51,11100.0,99.8,306.3,9.85,9.89
164,Portugal ,Western Europe                     ,10605870,92391,114.8,1.94,3.57,5.05,18000.0,93.3,399.2,10.72,10.5
165,Puerto Rico ,Latin Amer. & Carib    ,3927188,13790,284.8,3.63,-1.46,8.24,16800.0,94.1,283.1,12.77,7.65
166,Qatar ,Near East                          ,885359,11437,77.4,4.92,16.29,18.61,21500.0,82.5,232.0,15.56,4.72
167,Reunion ,Sub-Saharan Africa                 ,787584,2517,312.9,8.22,0.0,7.78,5800.0,88.9,380.9,18.9,5.49
168,Romania ,Eastern Europe                     ,22303552,237500,93.9,0.09,-0.13,26.43,7000.0,98.4,196.9,10.7,11.77
169,Russia ,C.W. Of Ind. States ,142893540,17075200,8.4,0.22,1.02,15.39,8900.0,99.6,280.6,9.95,14.65
170,Rwanda ,Sub-Saharan Africa                 ,8648248,26338,328.4,0.0,0.0,91.23,1300.0,70.4,2.7,40.37,16.09
171,Saint Helena ,Sub-Saharan Africa                 ,7502,413,18.2,14.53,0.0,19.0,2500.0,97.0,293.3,12.13,6.53
172,Saint Kitts & Nevis ,Latin Amer. & Carib    ,39129,261,149.9,51.72,-7.11,14.49,8800.0,97.0,638.9,18.02,8.33
173,Saint Lucia ,Latin Amer. & Carib    ,168458,616,273.5,25.65,-2.67,13.53,5400.0,67.0,303.3,19.68,5.08
174,St Pierre & Miquelon ,Northern America                   ,7026,242,29.0,49.59,-4.86,7.54,6900.0,99.0,683.2,13.52,6.83
175,Saint Vincent and the Grenadines ,Latin Amer. & Carib    ,117848,389,303.0,21.59,-7.64,14.78,2900.0,96.0,190.9,16.18,5.98
176,Samoa ,Oceania                            ,176908,2944,60.1,13.69,-11.7,27.71,5600.0,99.7,75.2,16.43,6.62
177,San Marino ,Western Europe                     ,29251,61,479.5,0.0,10.98,5.73,34600.0,96.0,704.3,10.02,8.17
178,Sao Tome & Principe ,Sub-Saharan Africa                 ,193413,1001,193.2,20.88,-2.72,43.11,1200.0,79.3,36.2,40.25,6.47
179,Saudi Arabia ,Near East                          ,27019731,1960582,13.8,0.13,-2.71,13.24,11800.0,78.8,140.6,29.34,2.58
180,Senegal ,Sub-Saharan Africa                 ,11987121,196190,61.1,0.27,0.2,55.51,1600.0,40.2,22.2,32.78,9.42
181,Serbia ,Eastern Europe                     ,9396411,88361,106.3,0.0,-1.33,12.89,2200.0,93.0,285.8,0.0,0.0
182,Seychelles ,Sub-Saharan Africa                 ,81541,455,179.2,107.91,-5.69,15.53,7800.0,58.0,262.4,16.03,6.29
183,Sierra Leone ,Sub-Saharan Africa                 ,6005250,71740,83.7,0.56,0.0,143.64,500.0,31.4,4.0,45.76,23.03
184,Singapore ,Asia (Ex. Near East)         ,4492150,693,6482.2,27.85,11.53,2.29,23700.0,92.5,411.4,9.34,4.28
185,Slovakia ,Eastern Europe                     ,5439448,48845,111.4,0.0,0.3,7.41,13300.0,0.0,220.1,10.65,9.45
186,Slovenia ,Eastern Europe                     ,2010347,20273,99.2,0.23,1.12,4.45,19000.0,99.7,406.1,8.98,10.31
187,Solomon Islands ,Oceania                            ,552438,28450,19.4,18.67,0.0,21.29,1700.0,0.0,13.4,30.01,3.92
188,Somalia ,Sub-Saharan Africa                 ,8863338,637657,13.9,0.47,5.37,116.7,500.0,37.8,11.3,45.13,16.63
189,South Africa ,Sub-Saharan Africa                 ,44187637,1219912,36.2,0.23,-0.29,61.81,10700.0,86.4,107.0,18.2,22.0
190,Spain ,Western Europe                     ,40397842,504782,80.0,0.98,0.99,4.42,22000.0,97.9,453.5,10.06,9.72
191,Sri Lanka ,Asia (Ex. Near East)         ,20222240,65610,308.2,2.04,-1.31,14.35,3700.0,92.3,61.5,15.51,6.52
192,Sudan ,Sub-Saharan Africa                 ,41236378,2505810,16.5,0.03,-0.02,62.5,1900.0,61.1,16.3,34.53,8.97
193,Suriname ,Latin Amer. & Carib    ,439117,163270,2.7,0.24,-8.81,23.57,4000.0,93.0,184.7,18.02,7.27
194,Swaziland ,Sub-Saharan Africa                 ,1136334,17363,65.5,0.0,0.0,69.27,4900.0,81.6,30.8,27.41,29.74
195,Sweden ,Western Europe                     ,9016596,449964,20.0,0.72,1.67,2.77,26800.0,99.0,715.0,10.27,10.31
196,Switzerland ,Western Europe                     ,7523934,41290,182.2,0.0,4.05,4.39,32700.0,99.0,680.9,9.71,8.49
197,Syria ,Near East                          ,18881361,185180,102.0,0.1,0.0,29.53,3300.0,76.9,153.8,27.76,4.81
198,Taiwan ,Asia (Ex. Near East)         ,23036087,35980,640.3,4.35,0.0,6.4,23400.0,96.1,591.0,12.56,6.48
199,Tajikistan ,C.W. Of Ind. States ,7320815,143100,51.2,0.0,-2.86,110.76,1000.0,99.4,33.5,32.65,8.25
200,Tanzania ,Sub-Saharan Africa                 ,37445392,945087,39.6,0.15,-2.06,98.54,600.0,78.2,4.0,37.71,16.39
201,Thailand ,Asia (Ex. Near East)         ,64631595,514000,125.7,0.63,0.0,20.48,7400.0,92.6,108.9,13.87,7.04
202,Togo ,Sub-Saharan Africa                 ,5548702,56785,97.7,0.1,0.0,66.61,1500.0,60.9,10.6,37.01,9.83
203,Tonga ,Oceania                            ,114689,748,153.3,56.02,0.0,12.62,2200.0,98.5,97.7,25.37,5.28
204,Trinidad & Tobago ,Latin Amer. & Carib    ,1065842,5128,207.9,7.06,-10.83,24.31,9500.0,98.6,303.5,12.9,10.57
205,Tunisia ,Northern Africa                    ,10175014,163610,62.2,0.7,-0.57,24.77,6900.0,74.2,123.6,15.52,5.13
206,Turkey ,Near East                          ,70413958,780580,90.2,0.92,0.0,41.04,6700.0,86.5,269.5,16.62,5.97
207,Turkmenistan ,C.W. Of Ind. States ,5042920,488100,10.3,0.0,-0.86,73.08,5800.0,98.0,74.6,27.61,8.6
208,Turks & Caicos Is ,Latin Amer. & Carib    ,21152,430,49.2,90.47,11.68,15.67,9600.0,98.0,269.5,21.84,4.21
209,Tuvalu ,Oceania                            ,11810,26,454.2,92.31,0.0,20.03,1100.0,0.0,59.3,22.18,7.11
210,Uganda ,Sub-Saharan Africa                 ,28195754,236040,119.5,0.0,0.0,67.83,1400.0,69.9,3.6,47.35,12.24
211,Ukraine ,C.W. Of Ind. States ,46710816,603700,77.4,0.46,-0.39,20.34,5400.0,99.7,259.9,8.82,14.39
212,United Arab Emirates ,Near East                          ,2602713,82880,31.4,1.59,1.03,14.51,23200.0,77.9,475.3,18.96,4.4
213,United Kingdom ,Western Europe                     ,60609153,244820,247.6,5.08,2.19,5.16,27700.0,99.0,543.5,10.71,10.13
214,United States ,Northern America                   ,298444215,9631420,31.0,0.21,3.41,6.5,37800.0,97.0,898.0,14.14,8.26
215,Uruguay ,Latin Amer. & Carib    ,3431932,176220,19.5,0.37,-0.32,11.95,12800.0,98.0,291.4,13.91,9.05
216,Uzbekistan ,C.W. Of Ind. States ,27307134,447400,61.0,0.0,-1.72,71.1,1700.0,99.3,62.9,26.36,7.84
217,Vanuatu ,Oceania                            ,208869,12200,17.1,20.72,0.0,55.16,2900.0,53.0,32.6,22.72,7.82
218,Venezuela ,Latin Amer. & Carib    ,25730435,912050,28.2,0.31,-0.04,22.2,4800.0,93.4,140.1,18.71,4.92
219,Vietnam ,Asia (Ex. Near East)         ,84402966,329560,256.1,1.05,-0.45,25.95,2500.0,90.3,187.7,16.86,6.22
220,Virgin Islands ,Latin Amer. & Carib    ,108605,1910,56.9,9.84,-8.94,8.03,17200.0,0.0,652.8,13.96,6.43
221,Wallis and Futuna ,Oceania                            ,16025,274,58.5,47.08,0.0,0.0,3700.0,50.0,118.6,0.0,0.0
222,West Bank ,Near East                          ,2460492,5860,419.9,0.0,2.98,19.62,800.0,0.0,145.2,31.67,3.92
223,Western Sahara ,Northern Africa                    ,273008,266000,1.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,Yemen ,Near East                          ,21456188,527970,40.6,0.36,0.0,61.5,800.0,50.2,37.2,42.89,8.3
225,Zambia ,Sub-Saharan Africa                 ,11502010,752614,15.3,0.0,0.0,88.29,800.0,80.6,8.2,41.0,19.93
226,Zimbabwe ,Sub-Saharan Africa                 ,12236805,390580,31.3,0.0,0.0,67.69,1900.0,90.7,26.8,28.01,21.84
